store_id,date,temperature,fuel_price,markdown_1,markdown_2,markdown_3,markdown_4,markdown_5,cpi,unemployment,is_holiday,holiday_name,season
1,2022-01-01,97.57,4.83,10334.49,5905.86,5261.52,7098.43,876.08,203.52,3.32,1,New Year,Winter
1,2022-01-08,46.03,3.67,1356.75,2486.21,1427.01,983.27,2442.13,196.91,8.62,0,None,Winter
1,2022-01-15,25.96,5.46,3861.22,596.15,22.09,2854.11,3180.86,267.48,8.4,0,None,Winter
1,2022-01-22,25.92,3.58,579.35,2589.31,2493.19,1158.14,286.01,217.32,5.28,0,None,Winter
1,2022-01-29,78.37,4.41,4436.06,1416.64,478.38,2496.36,3423.53,247.35,8.4,0,None,Winter
1,2022-02-05,59.5,4.07,2137.71,76.26,431.57,110.0,2863.85,217.72,6.56,0,None,Winter
1,2022-02-12,92.61,3.25,2051.91,2266.65,915.19,269.43,1303.88,199.35,9.51,0,None,Winter
1,2022-02-19,84.65,4.4,4357.3,2411.02,746.28,3123.96,2427.04,276.89,9.27,0,None,Winter
1,2022-02-26,45.44,2.83,1139.68,1281.32,3272.06,3012.56,31.28,241.29,5.92,0,None,Winter
1,2022-03-05,37.77,2.86,1688.08,2828.73,1292.81,1815.77,3163.59,223.64,9.8,0,None,Spring
1,2022-03-12,97.0,3.26,2486.24,902.63,1139.36,129.1,2743.04,240.32,3.36,0,None,Spring
1,2022-03-19,42.29,5.22,1197.81,434.68,1957.81,3449.78,1089.25,260.66,8.33,0,None,Spring
1,2022-03-26,39.01,4.68,1838.92,1896.92,2534.12,1875.21,406.3,280.24,5.25,0,None,Spring
1,2022-04-02,34.92,2.62,2954.46,2032.69,66.35,1792.33,1019.23,257.42,4.22,0,None,Spring
1,2022-04-09,75.28,3.66,4683.65,412.56,1364.27,397.16,4161.12,285.28,4.81,0,None,Spring
1,2022-04-16,72.8,4.95,2776.0,1588.95,967.41,325.86,4037.47,288.05,7.43,0,None,Spring
1,2022-04-23,47.12,3.55,3629.78,2691.33,3548.35,2729.56,2889.14,190.1,4.13,0,None,Spring
1,2022-04-30,91.88,4.32,45.99,304.41,2654.01,17.72,723.64,245.85,7.84,0,None,Spring
1,2022-05-07,72.16,3.17,3560.9,711.75,1301.6,2612.72,2923.35,281.91,7.6,0,None,Spring
1,2022-05-14,65.46,2.78,1838.58,795.61,975.96,3405.54,1768.94,287.05,7.42,0,None,Spring
1,2022-05-21,83.58,4.01,2884.52,1477.55,780.97,2528.58,1263.48,182.92,7.52,0,None,Spring
1,2022-05-28,34.17,5.32,4769.64,2744.59,1480.63,54.1,4177.43,231.38,9.77,0,None,Spring
1,2022-06-04,97.09,5.06,1472.24,1155.29,3404.55,1109.23,762.72,246.82,9.55,0,None,Summer
1,2022-06-11,75.68,4.21,485.88,1845.02,3960.22,490.29,2332.48,285.28,8.19,0,None,Summer
1,2022-06-18,75.76,4.61,1797.46,880.78,3237.44,2835.4,3901.83,289.59,6.58,0,None,Summer
1,2022-06-25,60.12,4.89,3249.82,2105.9,3183.17,3115.02,1520.98,225.07,3.66,0,None,Summer
1,2022-07-02,66.26,2.61,5121.58,3581.45,2521.56,4549.42,301.95,184.48,8.76,1,Independence Day,Summer
1,2022-07-09,48.82,2.88,2611.22,2309.98,863.28,2180.12,384.06,186.2,6.72,0,None,Summer
1,2022-07-16,63.25,4.41,3630.46,2927.56,2065.2,1130.35,3578.34,212.5,6.07,0,None,Summer
